node_from,node_to,n,mean_pred,sd_pred,p_value
Euphorbia_balsamifera_m,Blaesoxipha_sp_1,17,0.9999584059707738,9.192226579601797e-5,4.8102021733414554e-55
Euphorbia_balsamifera_m,Chetogena_acuminata,82,0.9908345142400152,0.027688575966713907,2.9243478474400437e-70
Euphorbia_balsamifera_m,Chloropidae_sp_1,7,0.996858629152843,0.005302597688275983,7.504231362804543e-11
Euphorbia_balsamifera_m,Chloropidae_sp_5,8,0.9974593035104398,0.0027575614774930386,1.8882648742621817e-14
Euphorbia_balsamifera_m,Coccinella_miranda,16,0.9905620660618754,0.02032083479422514,3.0374782547379593e-16
Euphorbia_balsamifera_m,Curculionidae_sp,6,0.9865440553016955,0.029531842638868284,2.047523597334177e-5
Euphorbia_balsamifera_m,Elasmus_platyedrae,7,0.9608540391821192,0.029842277667041034,7.434487509320193e-6
Euphorbia_balsamifera_m,Eristalinus_aeneus,13,0.9923750199324064,0.007675425456386397,2.2523292242059855e-18
Euphorbia_balsamifera_m,Eristalinus_taeniops,34,0.967138672619567,0.05364420700585795,9.435751806402967e-19
Euphorbia_balsamifera_m,Eristalis_tenax,10,0.99097068965017,0.01332806945028354,6.2130378624333545e-12
Euphorbia_balsamifera_m,Eucera_gracilipes,15,0.9977352860358364,0.008511685353385525,9.582955038119602e-21
Euphorbia_balsamifera_m,Euderus_sp,13,0.9818460118809971,0.03275313879846579,1.380146789529917e-10
Euphorbia_balsamifera_m,Eupelmus_sp,7,0.8788819804088085,0.03116968819325956,5.384176516807645e-4
Euphorbia_balsamifera_m,Eurytoma_sp_1,11,0.9517496742825224,0.06992697767053853,2.9349316587725073e-5
Euphorbia_balsamifera_m,Exhyalanthrax_canarionae,8,0.9944319808446396,0.01474858413217455,2.5944947854319735e-9
Euphorbia_balsamifera_m,Geometridae_sp,5,0.9759110031933098,0.016920698793526437,2.0294280945903473e-5
Euphorbia_balsamifera_m,Goniozus_sp,8,0.9987053319509963,0.0019394950999972026,1.5388694539728477e-15
Euphorbia_balsamifera_m,Hylaeus_hohmanni,19,0.9941780938630931,0.011417658991383795,7.826822218613209e-24
Euphorbia_balsamifera_m,Leptochilus_cruentatus,15,0.9938968024349292,0.01718440822511457,2.2722792156324915e-16
Euphorbia_balsamifera_m,Macroglossum_stellatarum,9,0.9939466181560166,0.014401699381117707,1.5504424764388177e-10
Euphorbia_balsamifera_m,Melecta_curvispina,5,0.9824036799700028,0.02254815605169438,5.491914148822748e-5
Euphorbia_balsamifera_m,Meligethes_canariensis,17,0.999023572743822,0.00261136605831097,9.318526860371297e-32
Euphorbia_balsamifera_m,Myopites_nigrescens,11,0.9857496283773757,0.009872051232044808,2.715356111962901e-14
Euphorbia_balsamifera_m,Phthiria_simonyi,29,0.9994886724331613,0.0010103989232765254,4.887298877313807e-66
Euphorbia_balsamifera_m,Phyto_discrepans,10,0.9366661880144356,0.03181783684760732,2.662605577850237e-7
Euphorbia_balsamifera_m,Platypalpus_sp,11,0.9565974936420998,0.06751670874069714,1.6569434193202266e-5
Euphorbia_balsamifera_m,Pteromalus_sp_1,5,0.989429623205591,0.007677333048150429,6.461162066985147e-7
Euphorbia_balsamifera_m,Pteromalus_sp_4,12,0.9944304641604675,0.004367013201275515,1.0669707058854529e-19
Euphorbia_balsamifera_m,Sarcophagidae_sp_8,6,0.9408118200834474,0.04252303994516684,4.619623929807128e-4
Euphorbia_balsamifera_m,Scaeva_albomaculata,19,0.9903378942301669,0.021854919330094758,1.2339103670789617e-18
Euphorbia_balsamifera_m,Scenopinus_sp,26,0.9662603215680136,0.05138584157340222,5.993272155045965e-15
Euphorbia_balsamifera_m,Synthesomyia_nudiseta,7,0.8941384635558165,0.06880893336398428,0.01110130020462349
Euphorbia_balsamifera_m,Syritta_pipiens,30,0.996148969125382,0.0057508744601045365,3.131386878910097e-46
Euphorbia_balsamifera_m,Themnothorax_risii,7,0.9759943235364075,0.05108795838944259,9.802971717570709e-5
Euphorbia_balsamifera_m,Thysanoptera_sp_2,231,0.9971011418380118,0.017913874450382894,3.5619638677610695e-242
