"train_layer","test_layer","threshold","f05","f1","mcc","train_layer_name","test_layer_name","jaccard_pollinators","jaccard_plants","jaccard_edges","distance_km","layer_comparison"
1,6,0.525,0.654444691119682,0.730234267500604,0.107121664536735,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.55,0.662209567406952,0.733880023639606,0.143953492237499,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.575,0.668532020315363,0.738135102807398,0.170452508606957,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.6,0.677147340594604,0.744284148544797,0.205804368365178,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.625,0.681112787243264,0.746500630196995,0.220720978340619,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.65,0.688567874453656,0.751710168403996,0.249452733217255,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.675,0.691896871831298,0.753355339314739,0.257855138687107,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.7,0.695837001186275,0.753914356793888,0.267533973892734,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.725,0.693075226126412,0.746721525855859,0.259391686216354,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.75,0.689131349405281,0.737281131801318,0.247612050110284,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.775,0.685456907756554,0.728690776144408,0.239817738908512,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,6,0.8,0.686719346440016,0.726612246706146,0.242031662712364,"Tenerife Teno","El Hierro",0.189473684210526,0.363636363636364,0.0935960591133005,129.4144136,"Added location"
1,7,0.3,0.670495765855481,0.764146452929475,NA,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.325,0.670495765855481,0.764146452929475,NA,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.35,0.670495765855481,0.764146452929475,NA,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.375,0.670495765855481,0.764146452929475,NA,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.4,0.670495765855481,0.764146452929475,NA,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.425,0.670495765855481,0.764146452929475,NA,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.45,0.670495765855481,0.764146452929475,NA,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.475,0.670495765855481,0.764146452929475,NA,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.5,0.673298131735959,0.754605007548953,0.0666596443107543,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.525,0.677635692449627,0.75597851456256,0.0932946601649162,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
1,7,0.55,0.678499053086245,0.753688788023313,0.098641858267802,"Tenerife Teno","La Gomera",0.168421052631579,0.478260869565217,0.091703056768559,52.751492455,"Added location"
